year,sector,subsector,is_sector_level,industry_name,industry_id,business_receipts,cost_goods_sold,advertising,gross_profit,ad_revenue_ratio,ad_gross_profit_ratio
2014,all industries,NA,TRUE,all industries,all_industries|_total,28075177764,17850424254,295420565,10224753510,0.01052248243923176,0.028892683301467676
2014,manufacturing,"asphalt paving, roofing, other petroleum and coal products",FALSE,"asphalt paving, roofing, other petroleum and coal products",manufacturing|asphalt_paving_roofing_other_petroleum_and_coal_products,19482622,14460904,185581,5021718,0.009525463256434375,0.03695567931134325
2014,manufacturing,basic chemical,FALSE,basic chemical,manufacturing|basic_chemical,231631410,175383295,631926,56248115,0.0027281533191029664,0.011234616484481302
2014,manufacturing,"resin, synthetic rubber, and artificial and synthetic fibers and filaments",FALSE,"resin, synthetic rubber, and artificial and synthetic fibers and filaments",manufacturing|resin_synthetic_rubber_and_artificial_and_synthetic_fibers_and_filaments,72649572,52015504,165156,20634068,0.0022733237850320713,0.008004044573275615
2014,manufacturing,pharmaceutical and medicine,FALSE,pharmaceutical and medicine,manufacturing|pharmaceutical_and_medicine,356735105,181799279,12971615,174935826,0.036362036755536016,0.07415070598517653
2014,manufacturing,"paint, coating, and adhesive",FALSE,"paint, coating, and adhesive",manufacturing|paint_coating_and_adhesive,57936316,36705328,890259,21230988,0.015366165152786035,0.041932057047933895
2014,manufacturing,"soap, cleaning compound, and toilet preparation",FALSE,"soap, cleaning compound, and toilet preparation",manufacturing|soap_cleaning_compound_and_toilet_preparation,99575587,45610679,7354861,53964908,0.07386209031336165,0.13628969774209565
2014,manufacturing,other chemical product and preparation,FALSE,other chemical product and preparation,manufacturing|other_chemical_product_and_preparation,80732186,54749040,351833,25983146,0.004358026425792558,0.013540816035132928
2014,manufacturing,plastics product,FALSE,plastics product,manufacturing|plastics_product,138660589,101992941,503039,36667648,0.003627844102119024,0.013718878287475651
2014,manufacturing,rubber product,FALSE,rubber product,manufacturing|rubber_product,67791231,46877881,841297,20913350,0.012410115402683866,0.04022774926063973
2014,manufacturing,"clay, refractory, and other nonmetallic mineral product",FALSE,"clay, refractory, and other nonmetallic mineral product",manufacturing|clay_refractory_and_other_nonmetallic_mineral_product,21938834,15389434,138191,6549400,0.0062989218114326406,0.021099795401105445
2014,manufacturing,glass and glass product,FALSE,glass and glass product,manufacturing|glass_and_glass_product,30445231,20631502,78476,9813729,0.0025776122375290897,0.007996552584649525
2014,manufacturing,"cement, concrete, lime, and gypsum product",FALSE,"cement, concrete, lime, and gypsum product",manufacturing|cement_concrete_lime_and_gypsum_product,67971179,48181041,246438,19790138,0.0036256249137594037,0.01245256602050981
2014,manufacturing,"iron, steel mills, and steel product",FALSE,"iron, steel mills, and steel product",manufacturing|iron_steel_mills_and_steel_product,153322713,128042882,83026,25279831,5.415114197724899e-4,0.00328427828492999
2014,manufacturing,nonferrous metal production and processing,FALSE,nonferrous metal production and processing,manufacturing|nonferrous_metal_production_and_processing,100169395,84842043,121194,15327352,0.0012098905059773997,0.007907040955280468
2014,manufacturing,foundries,FALSE,foundries,manufacturing|foundries,34416246,25129205,35621,9287041,0.001035005386700223,0.00383555967934243
2014,manufacturing,forging and stamping,FALSE,forging and stamping,manufacturing|forging_and_stamping,20259303,14981789,26079,5277514,0.0012872604748544408,0.004941531183053233
2014,manufacturing,"cutlery, hardware, spring and wire: machine shops, screw, nut, and bolt",FALSE,"cutlery, hardware, spring and wire: machine shops, screw, nut, and bolt",manufacturing|cutlery_hardware_spring_and_wire_machine_shops_screw_nut_and_bolt,72349087,46914606,493536,25434481,0.006821592648432454,0.019404209584618613
2014,manufacturing,architectural and structural metals,FALSE,architectural and structural metals,manufacturing|architectural_and_structural_metals,52120616,37938827,251443,14181789,0.004824252269006184,0.01772999161107248
2014,manufacturing,"boiler, tank, and shipping container",FALSE,"boiler, tank, and shipping container",manufacturing|boiler_tank_and_shipping_container,32262181,24525886,50155,7736295,0.001554606615095241,0.006483077493813253
2014,manufacturing,"coating, engraving, heat treating, and allied activities",FALSE,"coating, engraving, heat treating, and allied activities",manufacturing|coating_engraving_heat_treating_and_allied_activities,13711174,8420801,27716,5290373,0.0020214169844245283,0.005238950070250245
2014,manufacturing,other fabricated metal product,FALSE,other fabricated metal product,manufacturing|other_fabricated_metal_product,122745050,83765864,676776,38979186,0.005513672445446883,0.01736249700032217
2014,manufacturing,"agriculture, construction, and mining machinery",FALSE,"agriculture, construction, and mining machinery",manufacturing|agriculture_construction_and_mining_machinery,175502438,126879004,593015,48623434,0.0033789559094330075,0.012196074016491719
2014,manufacturing,industrial machinery,FALSE,industrial machinery,manufacturing|industrial_machinery,48658379,31538502,212728,17119877,0.004371867792800907,0.01242579020865629
2014,manufacturing,commercial and service industry machinery,FALSE,commercial and service industry machinery,manufacturing|commercial_and_service_industry_machinery,41035801,20044323,293607,20991478,0.0071548987188041,0.013986961756575692
2014,manufacturing,"ventilation, heating, air-conditioning, and commercial refrigeration equipment",FALSE,"ventilation, heating, air-conditioning, and commercial refrigeration equipment",manufacturing|ventilation_heating_air_conditioning_and_commercial_refrigeration_equipment,32922877,22397217,290911,10525660,0.008836135432513994,0.02763826686402563
2014,manufacturing,metalworking machinery,FALSE,metalworking machinery,manufacturing|metalworking_machinery,29171360,19212373,158494,9958987,0.005433205719582494,0.0159146708395141
2014,manufacturing,"engine, turbine, and power transmission equipment",FALSE,"engine, turbine, and power transmission equipment",manufacturing|engine_turbine_and_power_transmission_equipment,59282897,42694241,277698,16588656,0.004684285250094981,0.016740235013614123
2014,manufacturing,other general purpose machinery,FALSE,other general purpose machinery,manufacturing|other_general_purpose_machinery,96081055,66063166,565599,30017889,0.0058866859861187,0.018842064476952393
2014,manufacturing,computer and peripheral equipment,FALSE,computer and peripheral equipment,manufacturing|computer_and_peripheral_equipment,229496286,128846029,3209133,100650257,0.013983376619872619,0.03188400204482339
2014,manufacturing,communications equipment,FALSE,communications equipment,manufacturing|communications_equipment,58544907,32908417,258011,25636490,0.004407061403308745,0.010064209257975644
2014,manufacturing,audio and video equipment manufacturing and reproducing magnetic and optical media,FALSE,audio and video equipment manufacturing and reproducing magnetic and optical media,manufacturing|audio_and_video_equipment_manufacturing_and_reproducing_magnetic_and_optical_media,30463134,19606252,724556,10856882,0.023784683480038527,0.066737024497457
2014,manufacturing,semiconductor and other electronic component,FALSE,semiconductor and other electronic component,manufacturing|semiconductor_and_other_electronic_component,217034443,134894781,2065659,82139662,0.009517655223046786,0.025148131240179682
2014,manufacturing,"navigational, measuring, electromedical, and control instruments",FALSE,"navigational, measuring, electromedical, and control instruments",manufacturing|navigational_measuring_electromedical_and_control_instruments,112283799,65494720,765010,46789079,0.00681318237192883,0.0163501829134102
2014,manufacturing,electrical lighting equipment and household appliance,FALSE,electrical lighting equipment and household appliance,manufacturing|electrical_lighting_equipment_and_household_appliance,143815109,99800548,2168076,44014561,0.015075439674422526,0.049258153455171344
2014,manufacturing,electrical equipment,FALSE,electrical equipment,manufacturing|electrical_equipment,65161325,42843665,338139,22317660,0.0051892591195774485,0.015151185204900514
2014,manufacturing,other electrical equipment and component,FALSE,other electrical equipment and component,manufacturing|other_electrical_equipment_and_component,62290317,42367736,646233,19922581,0.010374533813979467,0.03243721282900042
2014,manufacturing,motor vehicles and parts,FALSE,motor vehicles and parts,manufacturing|motor_vehicles_and_parts,823720380,669482467,12776167,154237913,0.015510320383234903,0.0828341537531048
2014,manufacturing,aerospace product and parts,FALSE,aerospace product and parts,manufacturing|aerospace_product_and_parts,337154705,230384524,952347,106770181,0.0028246587868319974,0.008919597129839089
2014,manufacturing,ship and boat building,FALSE,ship and boat building,manufacturing|ship_and_boat_building,47327403,34480111,463444,12847292,0.009792297287049535,0.03607328299224459
2014,manufacturing,other transportation equipment and railroad rolling stock,FALSE,other transportation equipment and railroad rolling stock,manufacturing|other_transportation_equipment_and_railroad_rolling_stock,31267306,20930592,355176,10336714,0.01135934128766962,0.034360629499858464
2014,manufacturing,furniture and related product manufacturing,FALSE,furniture and related product manufacturing,manufacturing|furniture_and_related_product_manufacturing,72274114,47642147,1778674,24631967,0.024610111443220183,0.07220998631574978
2014,manufacturing,medical equipment and supplies,FALSE,medical equipment and supplies,manufacturing|medical_equipment_and_supplies,139852486,74888918,1173891,64963568,0.008393780000449902,0.018069989628648475
2014,manufacturing,other miscellaneous manufacturing,FALSE,other miscellaneous manufacturing,manufacturing|other_miscellaneous_manufacturing,81880981,49689577,1595784,32191404,0.01948906791920336,0.04957174281680911
2014,wholesale trade,total,TRUE,wholesale trade,wholesale_trade|_total,4777412376,3935711056,32368535,841701320,0.0067753278244532264,0.03845608202206455
2014,wholesale trade,motor vehicle and motor vehicle parts and supplies,FALSE,motor vehicle and motor vehicle parts and supplies,wholesale_trade|motor_vehicle_and_motor_vehicle_parts_and_supplies,300251679,249504938,4416026,50746741,0.014707747895724507,0.08702087883830806
2014,wholesale trade,lumber and other construction materials,FALSE,lumber and other construction materials,wholesale_trade|lumber_and_other_construction_materials,118669250,92661283,296732,26007967,0.0025004961268399353,0.011409273166180194
2014,wholesale trade,professional and commercial equipment and supplies,FALSE,professional and commercial equipment and supplies,wholesale_trade|professional_and_commercial_equipment_and_supplies,287140241,210411359,2290807,76728882,0.00797800751306049,0.029855863141600318
2014,wholesale trade,metal and mineral (except petroleum),FALSE,metal and mineral (except petroleum),wholesale_trade|metal_and_mineral_except_petroleum_,134205978,117396843,88742,16809135,6.612373109042877e-4,0.005279391235777451
2014,wholesale trade,electrical and electronic goods,FALSE,electrical and electronic goods,wholesale_trade|electrical_and_electronic_goods,459216335,382014263,4734055,77202072,0.01030898650414951,0.06132031015955116
2014,wholesale trade,"hardware, plumbing, heating equipment, and supplies",FALSE,"hardware, plumbing, heating equipment, and supplies",wholesale_trade|hardware_plumbing_heating_equipment_and_supplies,110717629,79911477,556062,30806152,0.005022343822048429,0.01805035565623386
2014,wholesale trade,"machinery, equipment, and supplies",FALSE,"machinery, equipment, and supplies",wholesale_trade|machinery_equipment_and_supplies,372220135,283060738,1343210,89159397,0.0036086441159342442,0.015065265638797445
2014,wholesale trade,"furniture, sports, toys, recycle, jewelry, and other durable goods",FALSE,"furniture, sports, toys, recycle, jewelry, and other durable goods",wholesale_trade|furniture_sports_toys_recycle_jewelry_and_other_durable_goods,284203251,228643039,3267117,55560212,0.011495705937579159,0.05880317735288699
2014,wholesale trade,paper and paper product,FALSE,paper and paper product,wholesale_trade|paper_and_paper_product,63861552,NA,105994,NA,0.0016597466970423769,NA
2014,wholesale trade,drugs and druggists' sundries,FALSE,drugs and druggists' sundries,wholesale_trade|drugs_and_druggists_sundries,615887940,NA,4872180,NA,0.007910822218730245,NA
2014,wholesale trade,"apparel, piece goods, and notions",FALSE,"apparel, piece goods, and notions",wholesale_trade|apparel_piece_goods_and_notions,140369912,NA,3460857,NA,0.024655262304360496,NA
2014,wholesale trade,grocery and related product,FALSE,grocery and related product,wholesale_trade|grocery_and_related_product,675104916,545993324,2855244,129111592,0.0042293337410684775,0.022114544137911335
2014,wholesale trade,farm product raw material,FALSE,farm product raw material,wholesale_trade|farm_product_raw_material,157224425,NA,107535,NA,6.83958615208801e-4,NA
2014,wholesale trade,chemical and allied products,FALSE,chemical and allied products,wholesale_trade|chemical_and_allied_products,108239922,88229365,159443,20010557,0.0014730516897453049,0.00796794412069589
2014,wholesale trade,petroleum and petroleum products,FALSE,petroleum and petroleum products,wholesale_trade|petroleum_and_petroleum_products,662526390,621492181,196398,41034209,2.9643800302052876e-4,0.004786201678701788
2014,wholesale trade,"beer, wine, and distilled alcoholic beverage",FALSE,"beer, wine, and distilled alcoholic beverage",wholesale_trade|beer_wine_and_distilled_alcoholic_beverage,89325917,NA,1642175,NA,0.018384082191957793,NA
2014,wholesale trade,miscellaneous nondurable goods,FALSE,miscellaneous nondurable goods,wholesale_trade|miscellaneous_nondurable_goods,192483204,155760292,1940127,36722912,0.01007946127081301,0.05283151292577234
2014,wholesale trade,wholesale electronic markets and agents and brokers,FALSE,wholesale electronic markets and agents and brokers,wholesale_trade|wholesale_electronic_markets_and_agents_and_brokers,5763700,77801,35830,5685899,0.006216492877838888,0.006301554072627741
2014,retail trade,total,TRUE,retail trade,retail_trade|_total,4220977385,3173535969,50617438,1047441416,0.011991876142212499,0.0483248392003625
2014,retail trade,new and used car dealers,FALSE,new and used car dealers,retail_trade|new_and_used_car_dealers,771420081,681961628,7393223,89458453,0.009583913074204767,0.08264420803252656
2014,retail trade,other motor vehicle and parts dealers,FALSE,other motor vehicle and parts dealers,retail_trade|other_motor_vehicle_and_parts_dealers,160579259,110161184,1787376,50418075,0.0111308023908617,0.03545109566360873
2014,retail trade,furniture and home furnishings stores,FALSE,furniture and home furnishings stores,retail_trade|furniture_and_home_furnishings_stores,87849373,51074585,3305537,36774788,0.037627326036806207,0.08988595665051828
2014,retail trade,electronics and appliance stores,FALSE,electronics and appliance stores,retail_trade|electronics_and_appliance_stores,100074799,75001824,1946213,25072975,0.01944758340209107,0.07762194155260793
2014,retail trade,home centers; paint and wallpaper stores,FALSE,home centers; paint and wallpaper stores,retail_trade|home_centers_paint_and_wallpaper_stores,155497430,100374052,2122256,55123378,0.013648174120948493,0.038500107885260586
2014,retail trade,hardware stores,FALSE,hardware stores,retail_trade|hardware_stores,24179735,15693013,446950,8486722,0.01848448711286538,0.052664621275446515
2014,retail trade,other building materials dealers,FALSE,other building materials dealers,retail_trade|other_building_materials_dealers,60683829,44368818,399936,16315011,0.0065904872284838845,0.0245133760559524
2014,retail trade,lawn and garden equipment and supplies stores,FALSE,lawn and garden equipment and supplies stores,retail_trade|lawn_and_garden_equipment_and_supplies_stores,18203471,12745914,202836,5457557,0.011142710090839269,0.037166079987804065
2014,retail trade,food and beverage stores,FALSE,food and beverage stores,retail_trade|food_and_beverage_stores,655918548,501287018,3725234,154631530,0.005679415548407392,0.024091037578170507
2014,retail trade,"beer, wine, and liquor stores",FALSE,"beer, wine, and liquor stores",retail_trade|beer_wine_and_liquor_stores,30294428,23770592,136809,6523836,0.004515978978048373,0.02097063752062437
2014,retail trade,health and personal care stores,FALSE,health and personal care stores,retail_trade|health_and_personal_care_stores,368558032,260992189,3631983,107565843,0.009854575628947357,0.03376520741812064
2014,retail trade,gasoline stations,FALSE,gasoline stations,retail_trade|gasoline_stations,360211021,320866920,440495,39344101,0.0012228804070933744,0.011195960482106327
2014,retail trade,clothing and clothing accessories stores,FALSE,clothing and clothing accessories stores,retail_trade|clothing_and_clothing_accessories_stores,234857572,129469123,5440445,105388449,0.023164869472464784,0.05162278268275872
2014,retail trade,"sporting goods, hobby, book, and music stores",FALSE,"sporting goods, hobby, book, and music stores",retail_trade|sporting_goods_hobby_book_and_music_stores,92074459,58626203,1878891,33448256,0.02040621275874127,0.056173063253282925
2014,retail trade,general merchandise stores,FALSE,general merchandise stores,retail_trade|general_merchandise_stores,709146442,526067288,8188283,183079154,0.011546674304543715,0.04472537053563182
2014,retail trade,miscellaneous store retailers,FALSE,miscellaneous store retailers,retail_trade|miscellaneous_store_retailers,122293613,75854945,2149904,46438668,0.01757985513110975,0.04629555696989414
2014,retail trade,nonstore retailers,FALSE,nonstore retailers,retail_trade|nonstore_retailers,269135292,185220676,7421069,83914616,0.027573749042173183,0.08843595256397288
2014,transportation and warehousing,total,TRUE,transportation and warehousing,transportation_and_warehousing|_total,865362043,293469298,2927027,571892745,0.0033824305372266023,0.005118139765875156
2014,transportation and warehousing,air transportation,FALSE,air transportation,transportation_and_warehousing|air_transportation,186314239,63264522,1044258,123049717,0.0056048212182000755,0.008486472179371206
2014,transportation and warehousing,rail transportation,FALSE,rail transportation,transportation_and_warehousing|rail_transportation,62815303,8682761,103232,54132542,0.0016434211898969907,0.0019070229511852592
2014,transportation and warehousing,water transportation,FALSE,water transportation,transportation_and_warehousing|water_transportation,29747838,12147713,74417,17600125,0.002501593561185858,0.004228208606472965
2014,transportation and warehousing,truck transportation,FALSE,truck transportation,transportation_and_warehousing|truck_transportation,264221829,89579022,630128,174642807,0.002384844592079483,0.003608095923469668
2014,transportation and warehousing,transit and ground passenger transportation,FALSE,transit and ground passenger transportation,transportation_and_warehousing|transit_and_ground_passenger_transportation,28605566,7234975,151794,21370591,0.0053064498007136095,0.00710293880033547
2014,transportation and warehousing,pipeline transportation,FALSE,pipeline transportation,transportation_and_warehousing|pipeline_transportation,7950752,2510354,8940,5440398,0.0011244219414716999,0.0016432621289839456
2014,transportation and warehousing,other transportation and support activities,FALSE,other transportation and support activities,transportation_and_warehousing|other_transportation_and_support_activities,262733993,102288073,861162,160445920,0.0032776953989353025,0.005367303824241838
2014,transportation and warehousing,warehousing and storage,FALSE,warehousing and storage,transportation_and_warehousing|warehousing_and_storage,22972524,7761878,53096,15210646,0.0023112828176825497,0.003490713017711411
2014,information,total,TRUE,information,information|_total,1068232916,267227903,31641041,801005013,0.029619983176028625,0.03950167662683529
2014,information,newspaper publishers,FALSE,newspaper publishers,information|newspaper_publishers,27355302,7779499,575801,19575803,0.021048972517283854,0.02941391471910501
2014,information,periodical publishers,FALSE,periodical publishers,information|periodical_publishers,27001695,8518068,558913,18483627,0.020699182032831644,0.030238275204320018
2014,information,book publishers,FALSE,book publishers,information|book_publishers,24624876,6804591,425489,17820285,0.017278828124860406,0.023876666394504913
2014,information,database directory and other publishers,FALSE,database directory and other publishers,information|database_directory_and_other_publishers,13566428,4404143,441972,9162285,0.032578361820812377,0.048238185125217124
2014,information,software publishers,FALSE,software publishers,information|software_publishers,140111056,48773318,6305541,91337738,0.04500387892301661,0.06903544075067854
2014,information,motion picture and video industries (except video rental),FALSE,motion picture and video industries (except video rental),information|motion_picture_and_video_industries_except_video_rental_,94427536,18893857,4356290,75533679,0.046133682869793406,0.05767347834334933
2014,information,sound recording industries,FALSE,sound recording industries,information|sound_recording_industries,6766905,2849568,140605,3917337,0.020778332191747927,0.0358930058863968
2014,information,broadcasting (except internet),FALSE,broadcasting (except internet),information|broadcasting_except_internet_,110948623,13816984,3466969,97131639,0.031248418468429302,0.03569350868258282
2014,information,"telecommunications (paging, cellular, cable, satellite, & internet service providers",FALSE,"telecommunications (paging, cellular, cable, satellite, & internet service providers",information|telecommunications_paging_cellular_cable_satellite_internet_service_providers,455784290,111972383,9811810,343811907,0.021527310649518,0.028538307720680542
2014,information,"data processing, hosting, and related services",FALSE,"data processing, hosting, and related services",information|data_processing_hosting_and_related_services,62435456,13782935,1619904,48652521,0.025945257771481642,0.03329537641019671
2014,information,other information services,FALSE,other information services,information|other_information_services,105210750,29632558,3937745,75578192,0.03742721157296189,0.0521016035948571
2014,finance and insurance,total,TRUE,finance and insurance,finance_and_insurance|_total,2367269364,1317833107,23070636,1049436257,0.00974567421470673,0.02198383736612218
2014,finance and insurance,commercial banking,FALSE,commercial banking,finance_and_insurance|commercial_banking,18193850,NA,418271,NA,0.02298969157160249,NA
2014,finance and insurance,"savings institutions, credit unions, and other depository credit intermediation",FALSE,"savings institutions, credit unions, and other depository credit intermediation",finance_and_insurance|savings_institutions_credit_unions_and_other_depository_credit_intermediation,5742208,NA,603459,NA,0.1050918044069459,NA
2014,finance and insurance,credit card issuing and other consumer credit,FALSE,credit card issuing and other consumer credit,finance_and_insurance|credit_card_issuing_and_other_consumer_credit,57846810,313837,3638075,57532973,0.06289154060526414,0.06323460809160687
2014,finance and insurance,real estate credit (including mortgage bankers and originators),FALSE,real estate credit (including mortgage bankers and originators),finance_and_insurance|real_estate_credit_including_mortgage_bankers_and_originators_,16266743,NA,693985,NA,0.04266281209459079,NA
2014,finance and insurance,"international, secondary financing, and other nondepository credit intermediation",FALSE,"international, secondary financing, and other nondepository credit intermediation",finance_and_insurance|international_secondary_financing_and_other_nondepository_credit_intermediation,9762831,NA,343182,NA,0.03515189395371076,NA
